SucursalTaller,Marca,Modelo,DiasReparacion,CostoTTRep,Severidad,Segmento,Color,NombreTipoVehiculo,NombreCausaStro
BOGOTÁ,VOLKSWAGEN,2012,31 a 60, Alto ,Fuerte,Liviano,BLANCO,PICKUP DOBLE CABINA,HURTO - ACCESORIOS Y/O PARTES
BOGOTÁ,NISSAN,2016,61 a 120, Alto ,Fuerte,Liviano,AZUL,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
MEDELLÍN,FOTON         ,2019,61 a 120, Alto ,Fuerte,Pesado,BLANCO,FURGON,DISTRACCION DEL CONDUCTOR
CALI,MERCEDES BENZ,2011,61 a 120, Alto ,Fuerte,Liviano,PLATA,AUTOMOVIL,OBSTACULOS EN LA VIA
BARRANQUILLA,CHEVROLET,2020,61 a 120, Alto ,Fuerte,Liviano,ROJO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
MEDELLÍN,HONDA,2012,61 a 120, Alto ,Fuerte,Liviano,GRIS,CAMIONETA PASAJEROS,DISTRACCION DEL CONDUCTOR
MEDELLÍN,KIA,2011,61 a 120, Alto ,Medio,Liviano,PLATA,CAMPERO,DISTRACCION DEL CONDUCTOR
MEDELLÍN,MAZDA,2017,121 a 240, Alto ,Fuerte,Liviano,ROJO,CAMIONETA PASAJEROS,OBSTACULOS EN LA VIA
CALI,KIA,2018,61 a 120, Alto ,Medio,Liviano,PLATA,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,OTROS,2020,121 a 240, Alto ,Fuerte,Liviano,BLANCO,FURGON,OBSTACULOS EN LA VIA
BOGOTÁ,KENWORTH,2015,31 a 60, Alto ,Fuerte,Pesado,BLANCO,CAMPERO,OBSTACULOS EN LA VIA
CALI,MAZDA,2021,31 a 60, Alto ,Fuerte,Liviano,BLANCO,AUTOMOVIL,DISTRACCION DEL CONDUCTOR
BOGOTÁ,SCANIA,2020,61 a 120, Alto ,Fuerte,Pesado,BLANCO,CHASIS,DISTRACCION DEL CONDUCTOR
BOGOTÁ,INTERNATIONAL,2012,31 a 60, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,FALLA MECANICA
BARRANQUILLA,FORD,2014,31 a 60, Alto ,Medio,Liviano,BLANCO,CAMPERO,DISTRACCION DEL CONDUCTOR
BUCARAMANGA,KENWORTH,2012,31 a 60, Alto ,Fuerte,Pesado,BLANCO,VOLQUETA,FALLA MECANICA
BOGOTÁ,CHEVROLET,2009,61 a 120, Alto ,Medio,Pesado,AZUL,FURGON,OBSTACULOS EN LA VIA
BOGOTÁ,FREIGHTLINER,2015,61 a 120, Alto ,Fuerte,Pesado,BLANCO,REMOLCADOR,OBSTACULOS EN LA VIA
CALI,CHEVROLET,2021,61 a 120, Alto ,Fuerte,Pesado,BLANCO,CAMION,VIOLACION DE NORMAS DE TRANSITO
BOGOTÁ,CHEVROLET,2019,481 a 600, Alto ,Fuerte,Pesado,BLANCO,CHASIS,DISTRACCION DEL CONDUCTOR
BOGOTÁ,KENWORTH,2014,16 a 30, Alto ,Medio,Pesado,BEIGE,CAMPERO,OBSTACULOS EN LA VIA
MEDELLÍN,NISSAN,2019,61 a 120, Alto ,Fuerte,Liviano,BLANCO,PICKUP DOBLE CABINA,DISTRACCION DEL CONDUCTOR
