SucursalTaller,Marca,Modelo,DiasReparacion,CostoTTRep,Severidad,Segmento,Color,NombreTipoVehiculo,NombreCausaStro
2,3,3,1,2,0,0,8,0,12
1,3,4,2,1,2,0,4,2,5
6,28,1,1,2,2,0,2,0,2
2,12,3,0,2,2,0,0,4,12
6,28,2,3,1,2,0,4,0,13
6,35,2,3,2,0,0,0,0,2
6,34,2,3,1,1,0,4,0,12
6,21,3,3,1,1,0,0,9,5
6,18,1,3,3,0,0,0,4,10
6,7,2,3,3,2,0,0,4,2
2,2,2,0,2,2,0,0,0,2
6,21,2,3,2,0,0,4,2,12
2,18,3,2,4,2,0,0,0,13
4,18,3,2,2,2,0,0,2,0
2,21,1,3,3,0,0,4,7,5
2,6,3,2,2,2,0,0,0,2
1,13,2,2,1,2,0,10,0,12
4,21,1,4,0,2,0,0,2,12
4,33,2,2,3,0,0,4,2,13
1,3,3,3,3,0,0,0,4,12
6,3,3,2,1,2,1,4,7,2
6,3,4,1,1,2,0,0,0,12
2,8,2,3,3,0,1,4,1,3
2,7,3,1,2,2,0,0,2,13
2,33,3,0,0,1,0,0,0,2
6,33,1,1,2,0,0,8,4,7
5,33,4,2,0,2,0,0,2,3
5,21,3,1,2,2,0,0,0,5
0,33,3,2,2,2,0,0,0,13
2,34,3,1,0,1,0,4,1,12
6,3,2,1,1,2,0,8,2,2
0,3,3,1,1,2,0,4,2,13
6,35,3,2,1,2,0,0,2,9
2,17,4,2,2,0,1,9,12,7
0,3,3,1,2,2,0,0,2,12
6,7,1,3,1,2,0,0,4,12
0,1,2,2,4,0,0,8,2,12
1,34,3,2,2,0,0,12,9,2
0,35,3,1,2,2,0,4,10,2
2,35,3,0,0,1,0,4,0,2
2,3,1,2,5,0,1,10,1,12
6,28,3,1,2,2,0,0,2,2
6,28,3,1,3,2,0,0,0,2
4,28,3,3,4,2,0,4,1,2
2,3,3,1,1,0,0,9,0,2
1,28,3,0,1,2,0,0,4,12
0,2,3,1,0,2,0,0,4,12
1,3,2,4,4,1,1,4,1,12
6,35,3,0,1,2,0,0,2,2
4,25,3,2,4,0,0,11,11,12
2,11,3,2,3,2,1,4,1,12
6,18,2,2,2,0,0,0,0,6
2,34,2,0,1,2,0,0,2,2
2,7,3,0,2,2,0,4,0,2
2,18,2,2,1,0,0,0,2,2
6,25,2,3,2,2,0,4,10,2
4,3,2,2,4,2,0,10,2,12
2,5,2,1,2,2,0,4,4,12
2,28,3,2,3,1,0,4,0,10
5,3,3,2,3,0,0,0,0,2
5,35,3,0,1,2,0,0,0,13
6,35,3,2,1,2,0,0,0,2
2,21,3,1,1,0,0,10,0,2
6,25,3,1,1,2,0,4,0,12
5,34,3,2,1,2,0,4,0,2
4,28,3,2,2,2,0,4,0,2
5,3,3,2,0,2,0,4,2,3
6,3,2,1,2,2,0,0,0,13
4,3,3,3,4,0,0,0,0,13
2,3,2,3,5,0,1,4,7,12
4,18,2,2,2,2,0,0,0,13
6,28,4,2,1,1,0,4,9,12
6,18,2,1,1,1,0,0,0,3
4,3,3,4,3,0,1,4,1,0
5,32,4,0,1,1,0,4,0,2
6,17,3,1,4,0,1,4,13,2
5,7,2,3,4,0,0,0,0,12
6,21,2,2,1,1,0,0,0,12
6,28,4,2,2,2,0,4,9,13
2,28,4,2,2,2,0,4,4,2
2,28,3,1,2,2,0,8,2,12
1,7,3,0,0,1,0,0,2,12
1,34,2,2,1,2,0,0,4,2
2,18,3,1,2,2,0,9,0,2
6,28,3,0,0,2,0,4,0,2
6,25,3,3,2,0,0,0,0,12
2,3,3,1,1,2,0,10,0,12
2,11,3,4,6,2,1,4,1,12
2,21,3,1,1,2,0,2,1,13
6,33,3,1,0,2,0,0,2,2
